question,candidates,llm_final_match
Number of pending consumer compliant on unfair trade practices,"['Trade Payables', 'Share Application Money Pending Allotment', 'Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member', 'Remark For Consumer Complaints - Unfair Trade Practices Member', 'Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member - Previous Year']",
Number of whistle blower complaints filed in the current year,"['Whether Subsidiary Has Filed Balance Sheet', 'Number Of Complaints Filed During The Year - Working Conditions Complaints Member', 'Number Of Complaints Filed During The Year - Health Safety Complaints Member', 'Number Of Employees In The Company At The End Of The Financial Year']",
Number of women directors on the board,"['Directors Signing Board Report Domain', 'Total Number Of Board Of Directors', 'Number Of Board Of Directors For Remuneration Or Salary Or Wages - Female Member', 'Number Of Female Board Of Directors', 'Percentage Of Female Board Of Directors', 'Number Of Meetings Of Board']",
Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,"['Number Of Workers Against Whom Disciplinary Action Was Taken', 'Number Of Directors Against Whom Disciplinary Action Was Taken', 'Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption', 'Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption', 'Details Of Implementing Agency', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
Pay parity between male and female employees,"['Description Of Link Between Reimbursement Right And Related Obligation', 'Number Of Employees Or Workers Related To Minimum Wages - Equal To Minimum Wage Member - Female Member - Permanent Employees Member', 'Number Of Trained Employees Or Workers - Male Member - Total Employees And Workers Member - Employees Member', 'Number Of Trained Employees Or Workers - Female Member - Total Employees And Workers Member - Employees Member', 'Commission Employees', 'Number Of Employees Or Workers Related To Minimum Wages - Total Minimum Wages Member - Female Member - Permanent Employees Member']",
Pending resolution of complaints as a % of total complaints filed by employees and workers pertaining to working conditions,"['Explanation Of Unfulfilled Conditions And Other Contingencies Attaching To Government Assistance', 'Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member', 'Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member - Previous Year', 'Terms And Conditions Of Shares Pending Allotment']",
Percentage of CSR obligation spent (CSR spent/CSR obligation),"['Amount CSR Spent For Financial Year', 'Percentage Of Total Turnover For Business Activities - Details Of Business Activities Accounting For Ninety Percent Of The Turnover Domain3', 'Percentage Of Total Turnover For Business Activities - Details Of Business Activities Accounting For Ninety Percent Of The Turnover Domain7', 'Percentage Of Total Turnover For Business Activities - Details Of Business Activities Accounting For Ninety Percent Of The Turnover Domain1', 'CSR Expenditure', 'Amount CSR To Be Spent For Financial Year']",
Percentage of capital expenditure investments in specific technologies to improve the environmental and social impacts of products and processes to total capex,"['Assurance Sub Type For Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies', 'Remarks For Assurance Of Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies', 'Percentage Of Capital Reduction To Capital Prior To Reduction', 'Percentage To Total Turnover Of Company', 'Details Of Improvements In Environmental And Social Impacts Due To Capex']",
Percentage of energy consumed from renewable sources?,"['Total Energy Consumed From Renewable Sources', 'Total Energy Consumed From Non Renewable Sources', 'Raw Materials Consumed', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
Percentage of independent directors in audit committee,"['Number Of Days Of Accounts Payable', 'Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory', 'Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Board Of Directors Segment Member', 'Reappointment Of Independent Directors As Per Section 14910 Explanatory', 'Directors Comment On Company Secretary Qualification Or Observation Or Other Remarks In Secretarial Audit Report', 'Percentage Of Female Board Of Directors']",
Percentage of independent directors in nomination and remuneration committee,"['Median Of Remuneration Or Salary Or Wages Of Board Of Directors - Female Member', 'Median Of Remuneration Or Salary Or Wages Of Board Of Directors - Male Member', 'Disclosure Of Policy Formulated By Nomination And Remuneration Committee Relating To Remuneration For Directors Key Managerial Personnels And Other Employees Explanatory', 'Remuneration To Directors']",
Percentage of independent directors on the board,"['Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block', 'Reappointment Of Independent Directors As Per Section 14910 Explanatory', 'Percentage Of Female Board Of Directors', 'Directors Signing Board Report Domain']",
Percentage of non audit fees as compared to total audit fees,"['Recycling And Or Safe Disposal As APercentage To Total Turnover', 'Registration Filing Fees', 'Subscriptions Membership Fees', 'Custodial Fees', 'Safe And Responsible Usage As APercentage To Total Turnover']",
Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,"['Percentage Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries', 'Compensation From Third Parties For Items Of Property Plant And Equipment', 'Percentage Of Wages Of Your Plants And Offices That Were Assessed P5', 'Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5', 'Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3']",
Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),"['Type Of Industry', 'Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain1', 'Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain3', 'Quantity Of Highest Contributing Product Or Service In Uom', 'Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services', 'Indicate In Put Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8']",
Percentage of subject matter experts appointed in the Audit Committee,"['Particulate Matter', 'Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory', 'Percentage Increase In Remuneration Of Director Or Managerial Personnel In The Financial Year', 'Cost Of Goods Or Services Procured During The Year']",
Percentage of total other than permanent employees covered by health insurance,"['Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member', 'Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Employees Member', 'Percentage Of Well Being Of Employees Or Workers - Female Member - Health Insurance Member - Other Than Permanent Employees Member', 'Percentage Of Total Shares Held', 'Percentage Of Shares Held By Insurance Companies']",
Percentage of total other than permanent workers covered by health insurance,"['Percentage Of Well Being Of Employees Or Workers - Male Member - Health Insurance Member - Other Than Permanent Workers Member', 'Percentage Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Workers Member', 'Percentage Of Persons In Respective Category Covered By The Awareness Programmes - Workers Segment Member', 'Details Of Mechanism Available To Receive And Redress Grievances For Other Than Permanent Workers Explanatory Text Block', 'Percentage Of Total Shares Held', 'Percentage Of Shares Held By Insurance Companies']",
Percentage of total permanent employees covered by accident insurance,"['Percentage Of Well Being Of Employees Or Workers - Female Member - Accident Insurance Member - Permanent Employees Member', 'Percentage Of Well Being Of Employees Or Workers - Male Member - Accident Insurance Member - Permanent Employees Member', 'Percentage Of Well Being Of Employees Or Workers - Gender Member - Accident Insurance Member - Permanent Employees Member', 'Percentage Of Total Shares Held', 'Percentage Of Shares Held By Insurance Companies']",
